Front Text;Back Text
gaze;wpatrywać się intensywnie, wpatrywanie
mythical;mityczny, sławny
jam;dżem, korek, tarasować
darkness;ciemność, mrok
turn back;zawracać
pierced;przekłuty, przebity
fishbone;ość
curl;kręcić, zwijać, lok
Germany;Niemcy
associate professor;profesor nadzwyczajny
wimp;mięczak(person)
landscape;krajobraz, pejzaż
sculk;kryć się, podkradać się, stado(lisów)
rut;koleina, rutyna, złobić koleinami
couple;para
helpful;pomocny
riotous;wzburzony, hałaśliwy
genteelly;dystyngowanie, pretensjonalnie
mother;matka
miniature;miniaturowy, miniatura
optical;optyczny
fluoride;fluorek
invader;najeźdźca
superb;pierwszorzędny, znakomity
contrive;zaaranżować, zdołać coś zrobić
zoological;zoologiczny
floor;podłoga
professional;zawodowy, profesjonalny, zawodowiec, profesjonalista
complexity;złożoność
backfire;strzelać
dream up;wymyślić, wydumać
clerk;urzędnik(-iczka), sprzedawca, ekspendient(-tka)
ruler;linijka
damned;cholerny
eat out;jeść na mieście, jeść poza domem
swap for;zamieniać na
mound;wzgórek, sterta, układać w stos
here you are;proszę (gdy komuś coś podajemy)
child;pl children - dziecko
sheltering;schronienie się
martial;wojskowy, żołnierski
ragged;nierówny, podarty
extensive;rozległy, szczegółowy
imagesetter;naświetlarka
pretense;pozory
inquiry;zapytanie, dochodzenie(investigation)
collarbone;obojczyk
classified;tajny
fitness;sprawność fizyczna, kondycja
hide;hid hidden - skóra(zwierzęca), ukrywać, chować
boiling;gotowanie, gotujący się
quest;poszukiwanie, zadanie
upstairs;na piętrze, na górze
acquit;uniewinniać, uwolnić
blanket;koc, całościowy
dip;szybka kąpiel, spadek, sos(dip), zanurzać się
cautious;ostrożny
clock;zegar
fuel;opał, paliwo
voltage;napięcie
wonderland;kraina czarów
happen;zdarzać się
mutual;wzajemny, wspólny
screeching;piszczenie, skrzeczący
trend;trend, kierunek
pretend;udawać
register;rejestr, rejestrować
director's cut;wersja reżyserska
mysterious;tajemniczy
shave off;zgolić
galley;kuchnia na statku, galera(rodzaj statku)
transformation;przemiana, transformacja
brick;cegła
inverse;odwrotny
retirement;emerytura
strength;siła, moc
purchaser;nabywca, kupujący
jackass;osioł
fatigue;zmęczenie
representative;przedstawiciel(ka), reprezentatywny
slue;obracać gwałtownie, masa, mnóstwo
addict;osoba uzależniona
exorbitant;niebotyczny, wygórowany
coast;wybrzeże
maturity;dojrzałość
insect;owad
limb;kończyna(ANAT), konar(TREE)
distinct;różny, wyraźny
discuss;omawiać, dyskutować
ability;umiejętność, zdolność
deceptive;mylny, zwodniczy
shape;kształt
step;krok, stopień
issue;sprawa, kwestia, wydanie, numer, wydawać
boom;boom, hossa, doprowadzić do wzrostu
credit-card details;szczegóły karty kredytowej
challenge;wyzwanie
dine;jeść obiad
vandalism;wandalizm
steady;regularny, jednostajny
go ahead;wal śmiało
in response to;w odpowiedzi na
expectation;oczekiwanie
chance;szansa
sigh;westchnienie, wzdychać
get on with sth;kontynuować coś
truly;naprawdę, doprawdy
turn;obrót, zakręt, napad(illness), przekręcać, obracać, skręcać
swim;swam swum - pływać
advertisement;reklama, ogłoszenie
board;deska, tablica, plansza, zarząd
deluded;pod wpływem złudzeń
soil;gleba, ziemia, zabrudzić
likely;prawdopodobny
personnel;personel, pracownicy
skulking;ukrywanie się, podkradanie się
roller coaster;kolejka górska
phantom;zjawa, widmo, urojenie, fikcyjny, urojony
largish;spory, dość duży
stale;czerstwy, nieświeży
foreman;brygadzista, kierownik
confirm;potwierdzać
swallowing;połykanie
whiskey;(US)whisky
fig;figa, drzewo figowe
satisfying;zadowalający, satysfakcjonujący
do your best;zrób jak najlepiej potrafisz
snack;przekąska
appreciate;doceniać, rozumieć
hold out;wyciągać
brightness;jasność
stereotypically;stereotypowo
plunder;plądrować, rabować, grabież, rabunek
immortal;nieśmiertelny
coffin;trumna
trash;śmieci, krytykować, demolować, wyrzucić
peddle;handlować
take a break;zrobić sobie przerwę
besprinkle;obsypać, posypać, skropić
potion;mikstura, eliksir
hoof;pl hooves - kopyto
whirling;wirowanie
slip down;pośliznąć się i upaść
bacon;bekon
harm;szkoda, krzywda, powodować szkodę, wyrządzać krzywdę
without;bez
pharmacist;farmaceuta(-tka)
flag;flaga, flagowy, oznakować
keyword;słowo kluczowe
provision;zaopatrywanie, klauzula, pl - provisions - zapasy
experienced;doświadczony
cartridge;nabój(gun,printer,pen)
chuckle;chichotać (ch...)
on the whole;ogólnie, generalnie
true;prawdziwy
wire;drut, przewód
stillness;spokój, cisza
prisoner;więzień, jeniec
lambie;jagniątko, aniołeczek(np. o dziecku)
affected;sztuczny
hockey;hokej
briefly;przelotnie, na krótko
dare;odważyć się
voiceless;bezdźwięczny, cichy, nie mający głosu
radiation;promieniowanie
thread;nić, gwint, nawlekać, wątek
needn't;nie muszę
promote;awansować, promować
credence;wiara
authorize;autoryzować, zatwierdzać
melted;roztopiony
smooth;gładki, łagodny
interview;wywiad, rozmowa kwalifikacyjna
tropical;tropikalny, zwrotnikowy
sweetness;słodycz, dobroć
preposition;przyimek(np. at, in, on)
epithet;epitet, przydomek
dense;gęsty, tępy(person)
TV set;telewizor
vaporize;odparowywać, parować
sheep;pl sheep - owca
accept;przyjmować, akceptować
striped;w paski
personal;osobisty, prywatny
consistent;spójny, zgodny
elevated;wzniosły, podniesiony, wysoki
dusky;mroczny
Denmark;Dania
coverage;ubezpieczenie, relacja, sprawozdanie
heirloom;pamiątka rodowa
refine;oczyszczać, doskonalić
withered;zwiędnięty, uschnięty
drier;suszarka
nutty;orzechowy, stuknięty, szalony
swear;swore sworn - kląć(curse), przysięgać(promise)
more and more;coraz więcej
wish;pragnienie, życzenie
poverty;bieda, ubóstwo
duck;kaczka, robić unik
upwards;w górę, ku górze
subscription;prenumerata, składka, abonament
misery;nieszczęście, nędza
redundant;bezrobotny, zbędny, nadmiarowy
monkey;małpa
noonday;południe
portion;porcja
plague;dżuma, zaraza, plaga
zombie;żywy trup
occupied;zajęty, okupowany
obstinately;zawzięcie, uparcie
engineer;inżynier
leastways;przynajmniej, w każdym razie
pessimist;pesymista
jewel;klejnot
terrarium;pl terraria - terrarium(miejsce do hodowli gadów i płazów)
shut down;zamykać, wyłączać
substitute;substytut
toolchain;zestaw narzędzi niezbędnych w procesie wytwórczym oprogramowania
beat;beat beaten - bicie, rytm, bić, pobić
mean;meant meant - skąpy, podły, znaczyć, średnia
gap;szczelina, luka
consider;rozważać
promotion;awans, promocja, reklama
pilot;pilot(ka), pilotażowy, pilotować
unemployed;bezrobotny
settle;regulować, porządkować, zasiedlać
to consent to;zgadzać się na
suitor;konkurent(do ręki kobiety), petent
quay;nabrzeże
spread;spread spread - zasięg, rozpiętość, rozkład, rozprzestrzeniać się, rozkładać
crusty;chrupiący
kiwi fruit;kiwi(OWOC)
spectre;(UK) widmo, zjawa
plait;(UK) warkocz, zaplatać
lettuce;sałata
clique;klika
ungrateful;niewdzięczny
hold on;przytrzymywać się, czekać
luxury;luksus, luksusowy
scissors;nożyczki
systematise;(UK) usystematyzować
especially;szczególnie
originally;pierwotnie, początkowo
precise;dokładny, precyzyjny
change of heart;zmiana zdania
August;sierpień
pick up;podnosić
grapefruit;pl grapefruits - grejpfrut
swallow;jaskółka, kęs, łyk, przełykać
silky;gładki, jedwabny
repetitive;powtarzający się
bold;śmiały, pogrubienie(text)
goodbye;pożegnanie, do widzenia(zwrot)
rescue;ratunek, ratować
hibernation;hibernacja, sen zimowy
partially;częściowo
doodle;bazgroły, nabazgrać
upcoming;zbliżający się, nadchodzący
sixty;sześćdziesiąt(60)
baker;piekarz
ten;dziesięć(10)
purse;(BRIT)portmonetka, (US)torebka(damska)
barrier;szlaban, bariera
abnormal;nienormalny, nietypowy
completely;zupełnie, kompletnie
to decide on sth;decydować się na coś
thus;tak więc
warranty;gwarancja
oracle;wyrocznia
hang out;rozwieszać, spędzać czas
none;żaden
century;wiek, stulecie
dreadful;okropny, straszny
translator;tłumacz(ka)
rug;dywanik
relish;przyprawa, przysmak, przyjemność, rozkoszować się
in comparison with;w porównaniu z
elsewhere;gdzie indziej
pristine;nieskazitelny
mermaid;syrena
nearby;pobliski, w pobliżu
purvey;zaopatrywać, dostarczać
intern;internować, stażysta
wadder;osoba nabijająca, wypychająca, zatykająca
sit down;usiąść
paste;wklejać
frustrate;frustrować
accompany;towarzyszyć, odprowadzać, akompaniować
journal;czasopismo, gazeta
shipmate;marynarz służący na tym samym statku
fall off;odpaść, odłączyć się, zmniejszać się
installation;instalacja
outdoor;odkryty, na świeżym powietrzu
poster;plakat, afisz
stack;stos
data collection;zbieranie danych
stutter;jąkanie, jąkać się
map;mapa, spożądzać mapę
colleague;kolega/koleżanka z pracy
carry off;zdobyć
fluent;biegły, płynny(speech)
cup;filiżanka, puchar
magistrate;sędzie pokoju (urzędnik w UK)
confoundedly;cholernie
now;teraz
assist;pomagać
good-looking;atrakcyjny
Mr.;(US) pan(tytuł przed nazwiskiem)
the Jurassic;jura (okres ery mezozoicznej)
deny;zaprzeczać, odmawiać
martial arts;sztuki walki
fusion;połączenie, synteza jądrowa
unwieldy;nieporęczny, niewydolny
grudge;niechęć, uraza, żałować, skąpić
legislation;legislacja, ustawodawstwo
insert;wkładać, wkładka
flitty;dygocący, niestabilny
darkening;przyciemnianie, zachmurzanie się
secret;tajny, sekret
non-alcoholic;bezalkoholowy
reassure;uspokajać
career;kariera
athletics;lekkoatletyka
subsidiary;drugorzędny, filia(company)
dilute;rozcieńczać, rozrzedzać
undertake;undertook undertaken - podjąć się, przedsięwziąć
dreadfully;okropnie, strasznie
tie up;związać
internally;wewnętrznie, wewnątrz
prudent;przezorny, roztropny, rozważny
first of all;przede wszystkim
afire;płonący, w ogniu
embarrassment;wstyd, kłopotliwa sytuacja
perceive;postrzegać, dostrzegać
sew;sewed sewn/sewed - szyć
captain;kapitan
low;niski, niewielki, niż(obszar niskiego ciśnienia), nisko
wonder;cud, zdumienie, zastanawiać się
glisten;blask, błyszczeć
tiger;tygrys
attractive;atrakcyjny
eggshell;skorupka od jajka
unit;jednostka
exhibit;eksponat, wystawiać
flurry;śnieżyca
smoked;wędzony, zadymiony
thrill;dreszcz emocji, coś ekscytującego, podekscytować
groom;pan młody
twang;brzdęk, brzęczeć
way;droga, sposób
impartial;bezstronny
copy;kopia, kopiować
fracture;złamanie, pęknięcie, powodować pęknięcie(BONE)
foolhardiness;wariactwo
blackberry;jeżyna
occupation;zawód, okupacja, zajęcie
wall;ściana, mur
let us;używane do wyrażania sugestii, składania propozycji
understand;understood understood - rozumieć
blood vessel;naczynie krwionośne
noiseless;bezszelestny
collapse;zawalenie się, zawalać się, rozpadać się, upadać, zemdleć
piteous;żałosny, rozpaczliwy
retreat;wycofywać się, odwrót
drudge;harować, tyrać
flow;przepływ, strumień, płynąć
rice;ryż
foremast;fokmaszt(pierwszy maszt od strony dziobu okrętu)
fret;martwić się, próg(na gryfie gitary)
booming;gromki, kwitnący
vanished;znikający
conveniently;dogodnie
autograph;autograf, podpisywać
notify;powiadamiać, zgłaszać
facilitative;pomocny
make progress;zrobić postępy
tooth;pl teeth - ząb
stabling;stajnie
filthy;obrzydliwy, paskudny, obrzydliwie
event;wydarzenie, zdarzenie
sake;powód, sake(japoński napój alkoholowy)
how;jak
pope;papież
stir;mieszać
doctor;lekarz, doktor
gentle;łagodny
bulk;masa, cielsko
flounder;plątać się, brnąć(w wodzie), flądra(ryba)
craw;żołądek zwierzęcia, wole(workowata część przełyku u niektórych ptaków)
dozen;tuzin
torch;pochodnia, latarka
rethink;przemyśleć(na nowo)
diagnosis;pl diagnoses - diagnoza, rozpoznanie
gladly;chętnie, z przyjemnością
windmill;wiatrak
cybercrime;przestępstwo dokonane przy użyciu narzędzi elektronicznych
plodding;ciężki
throw away;wyrzucać(RUBBISH), trwonić(MONEY)
make sheep's eyes at sb;patrzeć na kogoś w sposób, który pokazuje, że go kochasz
slow;wolny, wolno, powoli
chest;klatka piersiowa, skrzynia, kufer
guise;przebranie, przebrać się
windowsill;parapet
fax;faks, faksować
old-fashioned;staromodny, staroświecki
leak;przeciekać, przeciek
vet;=veterinary surgeon, weryfikować, sprawdzać
distribution;rozprowadzanie, rozdział, rozkład(statystyczny)
decrease;zmniejszać się
anointed;pomazaniec(osoba namaszczona), namaszczony
twilight;półmrok, zmierzch
beckoning;przywoływanie gestem, wabienie, kuszenie
beehive;ul(pszczoły)
subsequent;kolejny, dalszy, późniejszy
hobby;hobby
regard;szacunek, szanować
wearable;nadający się do noszenia
workforce;siła robocza
dodge;unik, robić unik
simulate;udawać, symulować
slice;plasterek, kromka, kroić w plasterki
bough;konar, gałąź, zacieniać
graduate;absolwent(ka), kończyć studia/szkołę średnią
irresolute;niezdecydowany
sodium;sód
miner;górnik
locker;szafka, schowek na bagaż
wholesaler;hurtownik
critical;krytyczny, istotny
mentioned;wymieniony
amulet;amulet
achievement;osiągnięcie
prompt;natychmiastowy, podpowiedź, podpowiadać
full;pełny
tinkle;dzwonić, brzęczeć
war;wojna
mount;montować
shivering;drżenie, dygotanie
fern;paproć
explanatory;objaśniający, tłumaczący
oilcan;oliwiarka
once again;jeszcze raz
average;średnia, średni, przeciętny
wicked;niegodziwy, okropny, koszmarny, orkopnie, koszmarnie
keen;zapalony, gorliwy, żywy, bystry, zawzięty
just;sprawiedliwy, słuszny, właśnie, jedynie
empty;pusty
set up;zakładać, wznosić, organizować
interested;zaciekawiony, zainteresowany
teach;taught taught - uczyć
forty;czterdzieści(40)
meditate;medytować
sailing master;nawigator jachtowy
cut out;wycinać, wykrawać, kończyć
cream;śmietana, śmietanka, krem, kremowy
electrical engineering;elektrotechnika
knapsack;plecak, tornister
postcode;(UK) kod pocztowy
trousers;spodnie
dowery;posag, wiano
seat;miejsce, siedziba
polystyrene;polistyren
in my opinion;moim zdaniem
axle;oś
trap;pułapka, zasadzka, łapać w pułapkę
triangle;trójkąt
waste;marnowanie, odpady, tracić
recognize;rozpoznawać, uznawać
though;chociaż, mimo że
freedom;wolność
within;w ciągu, w obrębie, wewnątrz
shrill;piskliwy, wydawać przeszywający dźwięk
humble;skromny
clang;dzwonienie, zatrzasnąć, zadzwonić
safe;bezpieczny, sejf
PVC;PCW polichlorek winylu
muddy;błotnisty, zabłocony
tuple;krotka, para uporządkowana
basin;basen, dorzecze
everyday life;życie codzienne
tart;placek(tarta), prostytutka, cierpki, kwaśny
oven;piekarnik
hang on to sth;trzymać się czegoś kurczowo
weaving;tkactwo
dost;"dawna forma czasownika ""do"" w 2 osobie liczby pojedynczej"
stress;nacisk, stres, akcent, akcentować
curve;łuk, krzywa(MATH), zataczać łuk
long-term;długoterminowy
phobia;fobia, chorobliwy lęk
peeping;zerkanie
fizzy water;woda gazowana
ankle;kostka(anatomia)
hug;ściskać, przytulać, uścisk
template;szablon
quick;szybki, szybko
exceptional;wyjątkowy
tourist;turysta(-tka), turystyczny
commendation;pochwała, rekomendacja
multi-function printer;urządzenie wielofunkcyjne
significant;znaczący, ważny
farthing;ćwierć pensa, grosz(przenośnia)
watch out;uważać, uważaj!
garage;garaż, warsztat
coomb;wąska dolina
villain;łajdak, złoczyńca
praise;chwalić, pochwała
tempest;burza, nawałnica
look down on;spoglądać z góry na
cheese;ser
sweetheart;ukochany(-na), kochanie
magazine;czasopismo, magazyn, magazynek(gun), skład
exam;egzamin
browser;przeglądarka
nebulous;mglisty
hush;cisza, uciszać
hither;tu(old use)
faithless;niewierny
efficiency;sprawność, wydajność
dwarf;pl dwarfs/dwarves - karzeł
give sb a refund;zwrócić komuś pieniądze
time's up;koniec czasu
nightingale;słowik
shitless;cholernie, strasznie
gainsay;gainsaid gainsaid - zaprzeczać, wypierać się
wand;różdżka, szczoteczka(np. w tuszu do rzęs)
locust;szarańcza
favourable;(UK) pomyślny, łaskawy, korzystny
tender;czuły, obolały, składać(offer)
work overtime;pracować w nadgodzinach
teacher;nauczyciel
take up;zajmować, zainteresować się
amusing;zabawny
decision;decyzja, stanowczość
retail;detaliczny, sprzedawać detalicznie(bezpośrednio do klienta)
specimen;próbka(np. krwi), okaz(rare specimen - rzaki okaz)
binder;segregator
fare;opłata, strawa, pasażer, czuć się
receptionist;recepcjonista(-tka)
sprinkle;odrobina, mżawka, posypać, oprószyć, pokropić
reflect;odbijać, odzwierciedlać, zastanawiać się
moor;wrzosowisko, zacumować
ladybird;(UK)biedronka
gain;przyrost, korzyść, nabierać, zyskiwać
grand piano;fortepian
pincers;obcęgi, szczypce
wrought;opracowany, wykonany
complain;skarżyć się, narzekać
call about;dzwonić w sprawie
overcome;przezwyciężać
cherry;czereśnia, wiśnia
glance;zerknięcie, rzut oka
depart;wyjeżdżać, odstępować
internal;wewnętrzny
romance;romans
personally;osobiście
sincerely;szczerze
residential;mieszkalny
treatment;leczenie, traktowanie
fisherman;rybak, wędkarz
kill;zabijać
oval;owal, owalny
ourselves;sami, same
serenity;spokój
readily;bez wahania, bez trudu
represent;reprezentować
balance;równowaga, stan konta, saldo rachunku
profile;profil
millet;proso
create;tworzyć
database;baza danych
latest;najnowszy, ostatni
flesh;tkanka, miąższ, ciało
meal;posiłek
dramatically;dramatycznie, gwałtownie
wrist;nadgarstek, przegub
pitcher;dzbanek
wandering;wędrujący, błądzący, wędrowanie, błądzenie
wander;wędrować, błądzić
blind;niewidomy, oślepiać, żaluzja
downstairs;na dole, piętro niżej
inspiration;inspiracja, natchnienie
ease;łatwość
neigh;rżenie, rżeć
leopard;lampart
will sb to do sth;zmuszać kogoś, aby coś zrobił
scale;skala, podziałka
carrion;padlina
invoice;faktura(VAT)
ferryman;przewoźnik
worth;wartość, warty
goalkeeper;bramkarz
chaff;plewa, plewy, kpiny
dismal;ponury, okropny, fatalny
plop;plusk, pluśnięcie
stunning;oszałamiający
bit;kawałek, bit, odrobina
trustful;ufny
small;mały
twist;skręt, zwój, zakręt, skręcać, owijać
aunt;ciotka
vulnerability;podatność, wrażliwość, słaby punkt
fetch up;znaleźć się gdzieś(niespodziewanie), przybyć
two;dwa(2)
jog;uprawiać jogging, jogging(powolny bieg)
nightmare;koszmar
ferry;prom, przewozić
reconnoiter;(US) rozpoznać, wywiadowczy
imaginative;twórczy, pomysłowy
bridegroom;pan młody
observe;zaobserwować
scandal;skandal
custodian;dozorca(-czyni), kustosz
frightened;przestraszony
ardent;gorliwy, żarliwy, namiętny
syrup;syrop, peruka
goblet;kielich
still water;woda niegazowana
brake;hamulec, hamować
weave;wove woven - pleść, tkać, knuć
aluminum;(US)aluminium, glin
warrior;wojownik
prodigious;kolosalny
editor;redaktor
manure;nawóz naturalny, obornik
Hawaii;Hawaje
florist's;kwiaciarnia
flock;stado, parafia(REL)
profound;głęboki, wnikliwy, dogłębny
leaf;pl leaves - liść
logo;logo
tucked;schowany, wysuwany
noun;rzeczownik
pronoun;zaimek
grief;żal, smutek
altar;ołtarz
frail;słaby, wątły, delikatny
wife;pl wives - żona
invalid;invalida(-dka), nieważny
mum;mama
never mind;nieważne, mniejsza z tym
membership;członkostwo, członkowski
contain;zawierać
knob;gałka
taste;smak, czuć smak
sober;trzeźwy, poważny
rusty;zardzewiały
following;następny, następujący
dispute;spór, spierać się
hut;chata, szopa
sushi;sushi(suszi)
grate;trzeć na tartce, ruszt, palenisko
Mr;(UK) pan(tytuł przed nazwiskiem)
pleased;zadowolony
overall;całkowity, ogólny, w sumie
shame;wstyd, zawstydzać
set sb down;wysadzić kogoś
roof;pl roofs - dach, pokrywać dachem
militia;milicja
lest;ażeby nie, w razie gdyby
kind;uprzejmy, życzliwy, rodzaj
aspect;aspekt
hesitant;niepewny, wahający się
disgusting;obrzydliwy, wstrętny
watchman;pl watchmen - stróż, dróżnik
knock;uderzać, pukać
busy;zajęty
uncover;ujawniać, odkrywać
unprotected;bezbronny
extremely;niezwykle, wyjątkowo
berth;przystań, przycumowywać
torment;męczarnia, udręka, męczyć, dręczyć
statistics;statystyka
liar;kłamca, łgarz
percentage;procent
baste;podlewać, bić, okładać
numerous;liczny
unique;unikalny, niepowtarzalny
agreeable;miły
local;lokalny, miejscowy
crusade;wyprawa krzyżowa, krucjata, kampania
lament;opłakiwanie, lament, opłakiwać
depression;depresja, recesja(w gospodarce)
crystal;kryształ, kryształowy
sheath;pochwa(miecza)
status;pozycja, status
mute;niemy, milczący, wyciszyć, stłumić, tłumik
moored;zacumowany
entwine;splatać
computer science;informatyka
volunteer;ochotnik, wolontariusz, zgłosić się na ochotnika
speedily;pospiesznie, niezwłocznie
devoted;ofiarny, oddany
wisely;mądrze
elevate;wynieść, podnieść
nourishment;wartości odżywcze, pokarm
to participate in;uczestniczyć w
inheritor;spadkobierca
eyelid;powieka
unavoidable;nieunikniony
boar;dzik, knur
standardisation;(UK) standaryzacja, normalizacja
erect;wyprostowany, podniesiony, wznosić
castle;zamek, wieża(chess)
night;noc
rubbish;śmieci, odpadki, bzdury
resist;opierać się
radiate;promieniować
bonus;premia, dodatkowa korzyść
deary;kochanie, skarbie
camper;obozowicz(ka), samochód kempingowy
brainy;bystry, uzdolniony
multiply;mnożyć, rozmnażać się
pleasant;przyjemny, miły
parallel;równoległy, zbliżony, podobny
cider;cydr, jabłęcznik
pickaxe;kilof
fond;czuły, delikatny
daytime;dzień, pora dzienna
whisky;(UK)whisky
ewe;owca
delivery;dostawa
laptop;laptop
nuts;świrnięty
query;pl queries - zapytanie, kwerenda(do bazy danych), pytać
talisman;talizman, amulet
programmer;programista(-tka)
if;jeśli, jeżeli, czy
extend to sth;sięgać do czegoś
to devote sth to sb/sth;poświęcać coś komuś/czemuś
cancer;rak, nowotwór
bedtime;pora snu
shopper;kupujący(-ca), klient(ka)
curfew;godzina policyjna
forelock;grzywka(u konia)
sensitive;wrażliwy, czuły
hesitation;niepewność, wahanie
biological;biologiczny
bruise;siniec, siniak, obicie, obijać się
manufacturer;wytwórca, producent
trade in;wymieniać na nowy za dopłatą
alms;jałmużna
cleverness;inteligencja, spryt
asymmetric;aysmetryczny
comparison;porównanie
predatory;drapieżny
tidiness;czystość, schludność
quiet;cichy, spokojny
arrangements;ustalenia, przygotowania
looker;przystojniak, ślicznotka
sensual;zmysłowy
independently;samodzielnie, niezależnie
countenance;wyraz twarzy, opanowanie, przyzwalać, tolerować
electronically;elektronicznie
slight;drobny, lekki, niewielki
active;aktywny
come;came come - przychodzić
sin;grzech, grzeszyć
battered;sponiewierany
reluctant;niechętny, oporny
pot;garnek, doniczka, sadzić w doniczce
determined;zdecydowany, stanowczy
fact;fakt
sit up;usiąść, siadać
mock-;prefix - udawany, imitowany
dowry;posag, wiano
case;przypadek, sprawa, walizka
sandglass;klepsydra(do mierzenia czasu)
buzzword;modne powiedzonko, popularny zwrot
Yours faithfully;Z poważaniem(używamy gdy NIE znamy nazwiska osoby do której piszemy)
scullion;pomywaczka
canary;kanarek
youth;młodość, młodzieniec
abandon;porzucać, opuszczać
calculation;obliczenie, kalkulacja
grumbling;pomruk, zrzędliwy, zrzędzenie
wake up;woke/waked woken/waked - budzić się
help yourself;poczęstuj się
vaporise;(UK) odparowywać, parować
endeavor;(US) próba, staranie, wysiłek, starać się
threatening;groźny
cause;przyczyna, powód, sprawa, powodować
stairs;schody
world;świat, światowy
jollity;wesołość, dobry humor
sensitivity;wrażliwość, czułość
lizard;jaszczurka
shake;shook shaken - trząść
congratulations;gratulacje
band;banda, grupa, zespół, pasmo
illegal;nielegalny
manger;złób, koryto
high-pitched;wysoki(sound), o wysokim tonie
temple;świątynia, skroń
brimstone;siarka
similar;podobny
swiftness;szybkość
cancel;odwoływać, anulować
annihilate;unicestwiać
go on strike;strajkować
joiner;stolarz
flimsy;cienki, marny
distract;rozpraszać
enchant;oczarowywać
fir;jodła
saleswoman;pl saleswomen - sprzedawczyni
verb;czasownik
latency;opóźnienie
broccoli;brokuły
code;kodeks, szyfr, kod
verify;weryfikować, sprawdzać
cop;glina, gliniarz
countless;niezliczony
grammar;gramatyka
conceal;ukrywać
change;zmieniać
tin;cyna, puszka, blaszane pudełko
sideway;boczna droga
out of date;nieaktualny, nieważny
sweep;swept swept - zamiatać
quality;jakość
plainly;wyraźnie, jasno
catalog;katalog, katalogować(US)
prophet;prorok
amuse;bawić się
thyme;tymianek
temper;charakter, temperament, hartować(stal)
humid;wilgotny
reserve;zapas, rezerwa, rezerwowy, rezerwat przyrody
insulin;insulina
acre;akr
swan;łabędź
grocer's;sklep spożywczy
product;produkt, iloczyn
seed;nasienie, ziarno
cowardness;tchórzostwo
reck;uważać, liczyć się
revival;odrodzenie, odżycie, powrót
mist;mgła
both;oba, obie
width;szerokość
warn;przestrzegać
obstacle;przeszkoda
maths;(UK)matematyka
absolutely;absolutnie, całkowicie
whip;biczować, chłostać, bicz, bat
camping;kemping, obozowanie
chicken;kurczak
genetic;genetyczny
electronics;elektronika
prominent;znaczący, wybitny, czołowy
exclude;wyłączać, wykluczać
probably;prawdopodobnie, chyba
starost;starosta
slaughterhouse;rzeźnia
put on;umieścić na, nakładać, włączać
meanwhile;tymczasem
intimate;bliski, intymny
utter;kompletny, całkowity, wymawiać
mislead;misled misled - zmylić, wprowadzić w błąd
dick;chuj, fiut
desktop;blat, biurkowy, pulpit(computer)
stinky;śmierdzące
typical;typowy
trudge;iść powłócząc nogami, wlec się
ellipsis;pl ellipses - elipsa
forge;rozpoczynać, fałszować, wykuwać, kuźnia
gipsy;Cygan(ka)
hell;piekło
widower;wdowiec
avoid;unikać
jab;dźgać, szczepienie, prosty(cios - in boxing)
lecturer;wykładowca
condemn;potępiać, skazywać, przeznaczyć do rozbiórki
follower;następca, zwolennik
labour;(UK) praca, robota, poród, ciężko pracować
bleed;bled bled - krwawić
corrupt;skorumpowany, zepsuty, uszkodzony, korumpować, uszkadzać
competition;rywalizacja, konkurs, zawody
thrill to sth;dać się porwać czemuś
competitive;ambitny, konkurencyjny, konkursowy
guest;gość
remains;resztki, pozostałości
damsel;dziewica, panna(niezamężna)
glen;wąwóz
interior;wnętrze, wewnętrzny
affect;wpływać na, dotyczyć
fishing rod;wędka
ignore;ignorować
infection;infekcja, zakażenie
settle down to sth;zabrać się do czegoś
bungalow;dom parterowy
wiping;wycieranie
obtain;dostawać, uzyskiwać, istnieć, panować, obowiązywać
hand;ręka
list;lista
vocation;powołanie
senseless;bezsensowny
declare;oświadczać, ogłaszać
counterpart;odpowiednik, kopia
stuff;rzeczy
sentence;zdanie, wyrok
lute;kit, kitować, uszczelniać
hew sth away;odrąbać coś
theatre;teatr(UK)
mineral;mineralny, minerał
cornerstone;kamień węgielny, sedno sprawy
object;przedmiot, obiekt, dopełnienie(w zdaniu)
debt;dług, zadłużenie
vary;różnić się
angel;anioł
praised;pochwalony
convert;konwertować, przekształcać
he is supposed to do it;powinien to zrobić
grey;szary, siwy(UK)
metaphor;metafora, przenośnia
fill;wypełniać
suspect;podejrzany, podejrzewać
accountant;księgowy(-wa)
grazing;pastwisko, wypasanie, zadraśnięcie
heap;stos, sterta
songwriter;autor(ka) piosenek
gleam;poświata, przebłysk, świecić, lśnić
foreign;obcy, zagraniczny
spade;łopatka, pik(cards)
sting;stung stung - ukąszenie, żądło, użądlić
irresponsible;nieodpowiedzialny
profitable;opłacalny, dochodowy
jitters;trema, zdenerwowanie
skulk;kryć się, podkradać się, stado(lisów)
stark;surowy, prosty, kompletnie, całkowicie
reel;szpulka(np. na kabel)
pancake;naleśnik
meet;met met - spotykać
relationship;stosunek, związek(pomiędzy)
diet;dieta, sposób odżywiania
helpless;bezradny, bezsilny
brand;marka, rodzaj, odmiana
make a living;zarabiać na życie
bring;brought brought - przynosić
leather;skóra
whose;czyj, czyja, czyje
earpiece;słuchawka
cool!;świetnie!
wheeling;obracanie, kręcenie
watermelon;arbuz
deficient;nie wystarczający, wybrakowany
displeased;niezadowolony
